position,season,timing_window,n,mean_points_zscore,top_6_rate
TE,2018,1-3,9,-0.016813362734168644,0.3333333333333333
TE,2018,10-11,5,-0.42920866064156077,0.2
TE,2018,12+,8,0.046340544659713524,0.625
TE,2018,4-5,11,-0.10941292223133368,0.36363636363636365
TE,2018,6-7,15,-0.012096839181105275,0.6
TE,2018,8-9,11,0.2731744057024488,0.6363636363636364
TE,2019,1-3,101,0.08895749868890361,0.594059405940594
TE,2019,10-11,47,0.22066237220212165,0.5106382978723404
TE,2019,12+,64,0.06043781901710527,0.453125
TE,2019,4-5,82,-0.2715992251786197,0.3902439024390244
TE,2019,6-7,145,0.03610369240605477,0.503448275862069
TE,2019,8-9,65,-0.095196280190841,0.5230769230769231
TE,2020,1-3,168,0.12052712472357692,0.5476190476190477
TE,2020,10-11,136,0.08242598748646293,0.5367647058823529
TE,2020,12+,89,-0.18682618195225367,0.38202247191011235
TE,2020,4-5,146,-0.11152890572932528,0.4383561643835616
TE,2020,6-7,184,-0.001228037645532773,0.5271739130434783
TE,2020,8-9,174,0.021320146837149116,0.5172413793103449
TE,2021,1-3,339,-0.04148361086772459,0.49262536873156343
TE,2021,10-11,157,0.1129407222589657,0.5414012738853503
TE,2021,12+,83,0.05104012387526651,0.46987951807228917
TE,2021,4-5,255,0.037386604602177013,0.5058823529411764
TE,2021,6-7,202,-0.03320812107024128,0.5099009900990099
TE,2021,8-9,271,-0.03784910359106262,0.4833948339483395
TE,2022,1-3,690,0.1195737176866118,0.5362318840579711
TE,2022,10-11,318,-0.05337130032111103,0.4968553459119497
TE,2022,12+,202,-0.10133180481013042,0.42574257425742573
TE,2022,4-5,485,-0.14247245318419163,0.4639175257731959
TE,2022,6-7,489,0.03188532884111029,0.5153374233128835
TE,2022,8-9,476,0.019108103070280644,0.5021008403361344
TE,2023,1-3,528,-0.07503374388558451,0.44696969696969696
TE,2023,10-11,308,0.10456481371094792,0.5373376623376623
TE,2023,12+,234,0.08900570053268397,0.5384615384615384
TE,2023,4-5,780,-0.0034080877907380555,0.49743589743589745
TE,2023,6-7,669,-0.07600075366005755,0.484304932735426
TE,2023,8-9,583,0.07515080043507956,0.5360205831903945
TE,2024,1-3,712,-0.18501592688350998,0.4157303370786517
TE,2024,10-11,324,0.13639135095122776,0.5339506172839507
TE,2024,12+,169,0.02888827477906279,0.4911242603550296
TE,2024,4-5,1457,-0.0174248797084872,0.49897048730267674
TE,2024,6-7,1090,0.042876107920031485,0.5229357798165137
TE,2024,8-9,644,0.0985643930376905,0.5450310559006211
TE,2025,1-3,803,0.18378748015344692,0.5616438356164384
TE,2025,10-11,397,0.09673154630645808,0.5516372795969773
TE,2025,12+,247,0.09962796703842126,0.5344129554655871
TE,2025,4-5,626,-0.13355937299093762,0.43769968051118213
TE,2025,6-7,1084,-0.10294738448369072,0.4732472324723247
TE,2025,8-9,949,-0.015235304443986682,0.48893572181243417
