league_id,season,draft_id,team_count,draft_rounds,qb_start_slots,superflex_slots,te_start_slots,scoring_type,keeper_pick_count,complete_pick_board,reception_points,passing_td_points,te_premium,primary_sample,exclusion_reason
1251575220054003712,2025,1251575220058206208,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1251584190063845376,2025,1251584254425444352,12,25,1,0,1,idp,0,True,1.0,6.0,0.0,False,non_redraft_or_idp
1251702942629634048,2025,1251702942638030848,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1251716663154331648,2025,1251716663166894080,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1251741933236129792,2025,1251741933248708608,12,15,1,0,1,ppr,0,True,1.0,5.0,0.0,True,eligible
1251782137833586688,2025,1251805338009612288,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1252001819773644800,2025,1252001819786235904,12,14,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1252035903103184896,2025,1252035903115763712,12,12,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1252070516102012928,2025,1252070516110397440,12,15,1,1,1,2qb,0,True,1.0,4.0,0.75,False,not_1qb;non_redraft_or_idp;te_premium
1252087704963776513,2025,1252087706440192000,12,33,1,1,2,idp,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1252136495129571328,2025,1252136496601780224,12,22,1,1,1,2qb,0,True,1.0,5.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1252284667042725888,2025,1252284667051134976,12,13,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1252469849691529217,2025,1252469849699930112,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1252470572835667968,2025,1252470574442086400,12,18,1,1,1,2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1252688007538941952,2025,1252688007547342848,12,17,1,1,1,2qb,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1252699608451141634,2025,1252699610170806272,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1252726648734765056,2025,1252726648743153664,12,18,1,1,1,2qb,24,True,1.0,4.0,0.0,False,not_1qb;keeper_picks;non_redraft_or_idp
1252726976536391680,2025,1252726976544772096,12,14,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1252740526029930496,2025,1252740526034137088,12,16,1,0,1,half_ppr,0,True,0.5,6.0,0.0,True,eligible
1252793189429940224,2025,1252793189446725632,12,13,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1252795463447363584,2025,1252795463455735808,12,15,1,1,1,2qb,0,True,0.5,6.0,0.0,False,not_1qb;non_redraft_or_idp
1252850245818142720,2025,1252850246539563008,12,22,1,1,1,dynasty_2qb,0,True,1.0,6.0,1.0,False,not_1qb;non_redraft_or_idp;te_premium
1253001055621349376,2025,1253001055629742080,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253056103772585984,2025,1253056105945255936,12,17,1,1,1,2qb,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1253070394760380416,2025,1253070394772963328,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253085795011534848,2025,1253085795019927552,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253092764896219136,2025,1253092764904595456,12,15,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1253124993672286208,2025,1253124994485993472,12,15,1,1,1,2qb,0,True,1.0,4.0,1.0,False,not_1qb;non_redraft_or_idp;te_premium
1253158099670290432,2025,1253158099678674944,12,17,1,0,1,half_ppr,0,True,0.0,6.0,0.01,False,te_premium
1253188692340645888,2025,1253188692349038592,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253212566188998656,2025,1253212566193184768,12,14,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253226316753285120,2025,1253226316765863936,12,16,1,1,1,2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1253307071097475072,2025,1253307072448040960,12,15,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1253416613395300352,2025,1253416613403688960,12,18,1,1,1,2qb,0,True,0.5,4.0,0.0,False,not_1qb;non_redraft_or_idp
1253445571830616064,2025,1253445571843211264,12,14,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1253461896187617280,2025,1253461897043255296,12,31,1,1,2,idp,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1253497198851674112,2025,1253497198860050432,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253506343172587520,2025,1253506344305049600,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253547247770013696,2025,1253547249716170752,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253550533021544448,2025,1253550535928193024,12,14,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1180749421939232768,2025,1253606500853616640,12,19,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1253757243204046848,2025,1253757243212451840,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1253902218608771072,2025,1253902224032006144,12,17,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1253915115284078592,2025,1253915116156497921,12,15,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1254077347682865152,2025,1254077347695443968,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254127790718988288,2025,1254127790727368704,12,14,1,1,1,2qb,21,True,1.0,4.0,0.0,False,not_1qb;keeper_picks;non_redraft_or_idp
1254171790440140800,2025,1254171792579244032,12,26,1,0,1,idp,0,True,1.0,4.0,0.0,False,non_redraft_or_idp
1254191915151147008,2025,1254191915155345408,12,14,1,0,1,half_ppr,0,True,0.5,6.0,0.5,False,te_premium
1254195472361328640,2025,1254195472369717248,12,16,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1254255310638432257,2025,1254255310642610176,12,16,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1254272750827098112,2025,1254272751535935488,12,15,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1254314712091336704,2025,1254314715455164416,12,22,1,1,2,dynasty_2qb,0,True,1.0,5.0,0.75,False,not_1qb;non_redraft_or_idp;te_premium
1254470351568510976,2025,1254470351597867008,12,14,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254536889927467008,2025,1254536889935872000,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1254579024311615488,2025,1254579025590882304,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
